"ID";"LorriesAndRoadTractors";"YearsOfConstruction";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6";"TotalAverageAnnualKilometres_7";"AverageAnnualKilometresInNetherlands_8";"AverageAnnualKilometresAbroad_9";"DutchGoodsVehiclesInUse_10"
"395";"A018937";"A044274";"2018JJ00";"   116.4";"   105.4";"    11.0";"   141.1";"   105.4";"    35.7";"   42507";"   31753";"   10754";"    3320"
"396";"A018937";"A044275";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"397";"A018937";"A044275";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"398";"A018937";"A044275";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"399";"A018937";"A044275";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"400";"A018937";"A044275";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"401";"A018937";"A044275";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"402";"A018937";"A044275";"2007JJ00";"   281.6";"   218.2";"    63.4";"   545.5";"   218.2";"   327.3";"   50056";"   20022";"   30034";"   10898"
"403";"A018937";"A044275";"2008JJ00";"   545.4";"   438.2";"   107.2";"   973.7";"   438.2";"   535.5";"  103841";"   46729";"   57113";"    9377"
"404";"A018937";"A044275";"2009JJ00";"   567.5";"   473.3";"    94.3";"   928.1";"   473.3";"   454.8";"   99573";"   50774";"   48798";"    9321"
"405";"A018937";"A044275";"2010JJ00";"   597.1";"   501.1";"    96.1";"   950.4";"   501.1";"   449.3";"  100456";"   52962";"   47494";"    9461"
"406";"A018937";"A044275";"2011JJ00";"   598.3";"   510.3";"    88.0";"   943.9";"   510.3";"   433.6";"   99471";"   53777";"   45694";"    9489"
"407";"A018937";"A044275";"2012JJ00";"   576.6";"   498.4";"    78.1";"   864.5";"   498.4";"   366.0";"   92043";"   53070";"   38973";"    9392"
"408";"A018937";"A044275";"2013JJ00";"   516.8";"   456.8";"    60.0";"   747.7";"   456.8";"   290.8";"   86564";"   52891";"   33673";"    8637"
"409";"A018937";"A044275";"2014JJ00";"   442.1";"   391.7";"    50.4";"   624.8";"   391.7";"   233.0";"   81444";"   51065";"   30379";"    7671"
"410";"A018937";"A044275";"2015JJ00";"   352.0";"   307.4";"    44.6";"   487.1";"   307.4";"   179.8";"   72893";"   45995";"   26897";"    6683"
"411";"A018937";"A044275";"2016JJ00";"   289.5";"   261.6";"    28.0";"   357.8";"   261.6";"    96.3";"   63264";"   46246";"   17018";"    5656"
"412";"A018937";"A044275";"2017JJ00";"   207.6";"   185.2";"    22.4";"   257.9";"   185.2";"    72.7";"   55816";"   40076";"   15740";"    4621"
"413";"A018937";"A044275";"2018JJ00";"   147.0";"   133.1";"    13.9";"   178.2";"   133.1";"    45.1";"   46617";"   34823";"   11794";"    3823"
"414";"A018937";"A044276";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"415";"A018937";"A044276";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"416";"A018937";"A044276";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"417";"A018937";"A044276";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"418";"A018937";"A044276";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"419";"A018937";"A044276";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"420";"A018937";"A044276";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"421";"A018937";"A044276";"2008JJ00";"   375.2";"   301.4";"    73.7";"   669.8";"   301.4";"   368.4";"   55961";"   25182";"   30778";"   11970"
"422";"A018937";"A044276";"2009JJ00";"   684.5";"   568.0";"   116.5";"  1130.4";"   568.0";"   562.4";"  102126";"   51314";"   50812";"   11069"
"423";"A018937";"A044276";"2010JJ00";"   772.4";"   663.6";"   108.8";"  1172.5";"   663.6";"   508.9";"  106474";"   60262";"   46211";"   11012"
"424";"A018937";"A044276";"2011JJ00";"   733.1";"   628.2";"   104.8";"  1144.8";"   628.2";"   516.6";"  104839";"   57529";"   47310";"   10920"
"425";"A018937";"A044276";"2012JJ00";"   719.0";"   624.2";"    94.7";"  1068.0";"   624.2";"   443.7";"   99476";"   58144";"   41332";"   10736"
"426";"A018937";"A044276";"2013JJ00";"   637.2";"   547.1";"    90.1";"   984.0";"   547.1";"   436.9";"   94311";"   52437";"   41874";"   10434"
"427";"A018937";"A044276";"2014JJ00";"   579.7";"   504.8";"    74.9";"   851.2";"   504.8";"   346.5";"   88048";"   52212";"   35835";"    9668"
"428";"A018937";"A044276";"2015JJ00";"   512.6";"   450.5";"    62.1";"   700.6";"   450.5";"   250.1";"   79536";"   51142";"   28394";"    8808"
"429";"A018937";"A044276";"2016JJ00";"   425.6";"   378.5";"    47.1";"   540.7";"   378.5";"   162.2";"   70192";"   49134";"   21057";"    7703"
"430";"A018937";"A044276";"2017JJ00";"   324.5";"   288.2";"    36.3";"   406.0";"   288.2";"   117.7";"   62427";"   44323";"   18104";"    6503"
"431";"A018937";"A044276";"2018JJ00";"   234.0";"   211.9";"    22.1";"   283.7";"   211.9";"    71.8";"   52140";"   38948";"   13191";"    5441"
"432";"A018937";"A044277";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"433";"A018937";"A044277";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"434";"A018937";"A044277";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"435";"A018937";"A044277";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"436";"A018937";"A044277";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"437";"A018937";"A044277";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"438";"A018937";"A044277";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"439";"A018937";"A044277";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"440";"A018937";"A044277";"2009JJ00";"   244.8";"   203.6";"    41.2";"   402.6";"   203.6";"   199.0";"   64625";"   32675";"   31949";"    6230"
"441";"A018937";"A044277";"2010JJ00";"   420.2";"   366.1";"    54.1";"   619.1";"   366.1";"   252.9";"  105623";"   62469";"   43154";"    5861"
"442";"A018937";"A044277";"2011JJ00";"   418.7";"   368.9";"    49.8";"   614.2";"   368.9";"   245.3";"  105481";"   63351";"   42130";"    5823"
"443";"A018937";"A044277";"2012JJ00";"   387.4";"   336.7";"    50.7";"   574.1";"   336.7";"   237.4";"  100410";"   58892";"   41518";"    5718"
"444";"A018937";"A044277";"2013JJ00";"   370.4";"   324.5";"    45.9";"   547.2";"   324.5";"   222.7";"   96082";"   56976";"   39105";"    5695"
"445";"A018937";"A044277";"2014JJ00";"   341.0";"   296.9";"    44.1";"   500.8";"   296.9";"   203.8";"   92017";"   54566";"   37451";"    5442"
"446";"A018937";"A044277";"2015JJ00";"   321.8";"   283.6";"    38.3";"   437.6";"   283.6";"   154.0";"   86096";"   55790";"   30306";"    5083"
"447";"A018937";"A044277";"2016JJ00";"   278.3";"   244.4";"    33.9";"   361.0";"   244.4";"   116.6";"   76867";"   52039";"   24828";"    4697"
"448";"A018937";"A044277";"2017JJ00";"   228.9";"   206.7";"    22.2";"   278.9";"   206.7";"    72.2";"   68191";"   50530";"   17662";"    4090"
"449";"A018937";"A044277";"2018JJ00";"   169.7";"   155.2";"    14.4";"   202.1";"   155.2";"    46.9";"   58015";"   44556";"   13460";"    3484"
"450";"A018937";"A044278";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"451";"A018937";"A044278";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"452";"A018937";"A044278";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"453";"A018937";"A044278";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"454";"A018937";"A044278";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"455";"A018937";"A044278";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"456";"A018937";"A044278";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"457";"A018937";"A044278";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"458";"A018937";"A044278";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"459";"A018937";"A044278";"2010JJ00";"   217.8";"   193.0";"    24.9";"   309.2";"   193.0";"   116.3";"   54324";"   33900";"   20424";"    5692"
"460";"A018937";"A044278";"2011JJ00";"   383.6";"   335.3";"    48.3";"   573.2";"   335.3";"   237.9";"  110293";"   64515";"   45778";"    5197"
"461";"A018937";"A044278";"2012JJ00";"   372.5";"   323.7";"    48.8";"   552.1";"   323.7";"   228.3";"  107093";"   62797";"   44296";"    5155"
"462";"A018937";"A044278";"2013JJ00";"   356.4";"   311.0";"    45.5";"   531.5";"   311.0";"   220.6";"  103635";"   60627";"   43009";"    5129"
"463";"A018937";"A044278";"2014JJ00";"   342.4";"   297.5";"    44.9";"   505.1";"   297.5";"   207.6";"   98582";"   58065";"   40517";"    5124"
"464";"A018937";"A044278";"2015JJ00";"   330.8";"   290.1";"    40.7";"   453.9";"   290.1";"   163.9";"   91851";"   58693";"   33158";"    4942"
"465";"A018937";"A044278";"2016JJ00";"   305.7";"   270.4";"    35.3";"   391.8";"   270.4";"   121.5";"   84015";"   57970";"   26045";"    4664"
"466";"A018937";"A044278";"2017JJ00";"   258.9";"   229.6";"    29.3";"   324.8";"   229.6";"    95.2";"   75616";"   53460";"   22155";"    4295"
"467";"A018937";"A044278";"2018JJ00";"   195.2";"   174.0";"    21.2";"   243.0";"   174.0";"    69.0";"   65433";"   46850";"   18583";"    3714"
"468";"A018937";"A044279";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"469";"A018937";"A044279";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"470";"A018937";"A044279";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"471";"A018937";"A044279";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"472";"A018937";"A044279";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"473";"A018937";"A044279";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"474";"A018937";"A044279";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"475";"A018937";"A044279";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"476";"A018937";"A044279";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"477";"A018937";"A044279";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"478";"A018937";"A044279";"2011JJ00";"   293.8";"   252.8";"    41.0";"   454.9";"   252.8";"   202.1";"   52684";"   29275";"   23409";"    8634"
"479";"A018937";"A044279";"2012JJ00";"   526.2";"   451.2";"    75.0";"   802.5";"   451.2";"   351.4";"  110556";"   62151";"   48404";"    7259"
"480";"A018937";"A044279";"2013JJ00";"   517.4";"   445.2";"    72.1";"   795.1";"   445.2";"   349.8";"  109436";"   61284";"   48152";"    7265"
"481";"A018937";"A044279";"2014JJ00";"   514.6";"   446.7";"    68.0";"   760.9";"   446.7";"   314.3";"  105172";"   61736";"   43436";"    7235"
"482";"A018937";"A044279";"2015JJ00";"   506.0";"   437.2";"    68.8";"   714.4";"   437.2";"   277.2";"   96369";"   58978";"   37391";"    7413"
"483";"A018937";"A044279";"2016JJ00";"   480.7";"   414.4";"    66.3";"   642.5";"   414.4";"   228.1";"   91063";"   58736";"   32327";"    7056"
"484";"A018937";"A044279";"2017JJ00";"   428.9";"   374.8";"    54.1";"   550.4";"   374.8";"   175.6";"   83294";"   56723";"   26571";"    6608"
"485";"A018937";"A044279";"2018JJ00";"   339.2";"   295.3";"    43.9";"   438.1";"   295.3";"   142.8";"   72865";"   49111";"   23754";"    6012"
"486";"A018937";"A044280";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"487";"A018937";"A044280";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"488";"A018937";"A044280";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"489";"A018937";"A044280";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"490";"A018937";"A044280";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"491";"A018937";"A044280";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"492";"A018937";"A044280";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"493";"A018937";"A044280";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"494";"A018937";"A044280";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"495";"A018937";"A044280";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"496";"A018937";"A044280";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"497";"A018937";"A044280";"2012JJ00";"   266.8";"   223.8";"    43.0";"   425.1";"   223.8";"   201.3";"   51756";"   27246";"   24509";"    8214"
"498";"A018937";"A044280";"2013JJ00";"   512.7";"   431.3";"    81.4";"   826.3";"   431.3";"   394.9";"  112722";"   58841";"   53881";"    7330"
"499";"A018937";"A044280";"2014JJ00";"   526.8";"   446.5";"    80.3";"   817.7";"   446.5";"   371.2";"  112552";"   61453";"   51099";"    7265"
"500";"A018937";"A044280";"2015JJ00";"   544.0";"   464.5";"    79.5";"   784.6";"   464.5";"   320.1";"  106153";"   62843";"   43311";"    7391"
"501";"A018937";"A044280";"2016JJ00";"   545.7";"   467.6";"    78.1";"   736.4";"   467.6";"   268.8";"   98685";"   62665";"   36020";"    7462"
"502";"A018937";"A044280";"2017JJ00";"   505.2";"   435.5";"    69.7";"   661.9";"   435.5";"   226.4";"   93555";"   61559";"   31996";"    7075"
"503";"A018937";"A044280";"2018JJ00";"   420.5";"   362.3";"    58.2";"   551.5";"   362.3";"   189.2";"   83723";"   55006";"   28717";"    6587"
"504";"A018937";"A044281";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"505";"A018937";"A044281";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"506";"A018937";"A044281";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"507";"A018937";"A044281";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"508";"A018937";"A044281";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"509";"A018937";"A044281";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"510";"A018937";"A044281";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"511";"A018937";"A044281";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"512";"A018937";"A044281";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"513";"A018937";"A044281";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"514";"A018937";"A044281";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"515";"A018937";"A044281";"2012JJ00";"";"";"";"";"";"";"";"";"";""
"516";"A018937";"A044281";"2013JJ00";"   218.3";"   180.2";"    38.1";"   364.8";"   180.2";"   184.6";"   39073";"   19302";"   19771";"    9336"
"517";"A018937";"A044281";"2014JJ00";"   588.5";"   498.5";"    90.0";"   914.6";"   498.5";"   416.1";"  112982";"   61575";"   51407";"    8095"
"518";"A018937";"A044281";"2015JJ00";"   623.9";"   527.5";"    96.4";"   915.7";"   527.5";"   388.3";"  112511";"   64806";"   47705";"    8139"
"519";"A018937";"A044281";"2016JJ00";"   621.4";"   522.7";"    98.7";"   862.5";"   522.7";"   339.8";"  106682";"   64650";"   42033";"    8085"
"520";"A018937";"A044281";"2017JJ00";"   583.6";"   488.9";"    94.7";"   796.3";"   488.9";"   307.4";"   98322";"   60370";"   37952";"    8099"
"521";"A018937";"A044281";"2018JJ00";"   524.1";"   440.1";"    84.0";"   713.2";"   440.1";"   273.2";"   91618";"   56528";"   35090";"    7785"
"522";"A018937";"A044282";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"523";"A018937";"A044282";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"524";"A018937";"A044282";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"525";"A018937";"A044282";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"526";"A018937";"A044282";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"527";"A018937";"A044282";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"528";"A018937";"A044282";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"529";"A018937";"A044282";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"530";"A018937";"A044282";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"531";"A018937";"A044282";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"532";"A018937";"A044282";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"533";"A018937";"A044282";"2012JJ00";"";"";"";"";"";"";"";"";"";""
"534";"A018937";"A044282";"2013JJ00";"";"";"";"";"";"";"";"";"";""
"535";"A018937";"A044282";"2014JJ00";"   208.4";"   177.6";"    30.8";"   319.9";"   177.6";"   142.4";"   43462";"   24121";"   19340";"    7361"
"536";"A018937";"A044282";"2015JJ00";"   502.1";"   436.5";"    65.6";"   700.7";"   436.5";"   264.1";"  109342";"   68120";"   41222";"    6408"
"537";"A018937";"A044282";"2016JJ00";"   533.4";"   466.4";"    67.0";"   697.1";"   466.4";"   230.7";"  109350";"   73155";"   36195";"    6375"
"538";"A018937";"A044282";"2017JJ00";"   501.9";"   423.9";"    78.0";"   677.1";"   423.9";"   253.2";"  101637";"   63625";"   38012";"    6662"
"539";"A018937";"A044282";"2018JJ00";"   496.2";"   427.3";"    68.9";"   651.4";"   427.3";"   224.1";"   94290";"   61854";"   32436";"    6908"
"540";"A018937";"A044283";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"541";"A018937";"A044283";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"542";"A018937";"A044283";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"543";"A018937";"A044283";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"544";"A018937";"A044283";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"545";"A018937";"A044283";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"546";"A018937";"A044283";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"547";"A018937";"A044283";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"548";"A018937";"A044283";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"549";"A018937";"A044283";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"550";"A018937";"A044283";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"551";"A018937";"A044283";"2012JJ00";"";"";"";"";"";"";"";"";"";""
"552";"A018937";"A044283";"2013JJ00";"";"";"";"";"";"";"";"";"";""
"553";"A018937";"A044283";"2014JJ00";"";"";"";"";"";"";"";"";"";""
"554";"A018937";"A044283";"2015JJ00";"   360.6";"   306.2";"    54.4";"   525.3";"   306.2";"   219.0";"   53816";"   31374";"   22441";"    9761"
"555";"A018937";"A044283";"2016JJ00";"   676.7";"   570.0";"   106.7";"   937.5";"   570.0";"   367.5";"  110554";"   67217";"   43337";"    8480"
"556";"A018937";"A044283";"2017JJ00";"   672.3";"   561.3";"   111.0";"   921.7";"   561.3";"   360.4";"  106511";"   64865";"   41646";"    8654"
"557";"A018937";"A044283";"2018JJ00";"   655.8";"   553.3";"   102.5";"   886.6";"   553.3";"   333.4";"  100162";"   62501";"   37661";"    8852"
"558";"A018937";"A044284";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"559";"A018937";"A044284";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"560";"A018937";"A044284";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"561";"A018937";"A044284";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"562";"A018937";"A044284";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"563";"A018937";"A044284";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"564";"A018937";"A044284";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"565";"A018937";"A044284";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"566";"A018937";"A044284";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"567";"A018937";"A044284";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"568";"A018937";"A044284";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"569";"A018937";"A044284";"2012JJ00";"";"";"";"";"";"";"";"";"";""
"570";"A018937";"A044284";"2013JJ00";"";"";"";"";"";"";"";"";"";""
"571";"A018937";"A044284";"2014JJ00";"";"";"";"";"";"";"";"";"";""
"572";"A018937";"A044284";"2015JJ00";"";"";"";"";"";"";"";"";"";""
"573";"A018937";"A044284";"2016JJ00";"   430.1";"   359.9";"    70.3";"   601.8";"   359.9";"   241.9";"   57270";"   34248";"   23023";"   10508"
"574";"A018937";"A044284";"2017JJ00";"   735.0";"   610.2";"   124.8";"  1015.4";"   610.2";"   405.1";"  109760";"   65966";"   43794";"    9251"
"575";"A018937";"A044284";"2018JJ00";"   729.5";"   607.1";"   122.4";"  1005.1";"   607.1";"   398.0";"  105499";"   63721";"   41778";"    9527"
"576";"A018937";"A044285";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"577";"A018937";"A044285";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"578";"A018937";"A044285";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"579";"A018937";"A044285";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"580";"A018937";"A044285";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"581";"A018937";"A044285";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"582";"A018937";"A044285";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"583";"A018937";"A044285";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"584";"A018937";"A044285";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"585";"A018937";"A044285";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"586";"A018937";"A044285";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"587";"A018937";"A044285";"2012JJ00";"";"";"";"";"";"";"";"";"";""
"588";"A018937";"A044285";"2013JJ00";"";"";"";"";"";"";"";"";"";""
"589";"A018937";"A044285";"2014JJ00";"";"";"";"";"";"";"";"";"";""
"590";"A018937";"A044285";"2015JJ00";"";"";"";"";"";"";"";"";"";""
"591";"A018937";"A044285";"2016JJ00";"";"";"";"";"";"";"";"";"";""
"592";"A018937";"A044285";"2017JJ00";"   364.9";"   303.1";"    61.7";"   503.5";"   303.1";"   200.4";"   51751";"   31154";"   20597";"    9730"
"593";"A018937";"A044285";"2018JJ00";"   671.4";"   559.9";"   111.5";"   922.4";"   559.9";"   362.5";"  106265";"   64503";"   41762";"    8680"
"594";"A018937";"A044286";"2001JJ00";"";"";"";"";"";"";"";"";"";""
"595";"A018937";"A044286";"2002JJ00";"";"";"";"";"";"";"";"";"";""
"596";"A018937";"A044286";"2003JJ00";"";"";"";"";"";"";"";"";"";""
"597";"A018937";"A044286";"2004JJ00";"";"";"";"";"";"";"";"";"";""
"598";"A018937";"A044286";"2005JJ00";"";"";"";"";"";"";"";"";"";""
"599";"A018937";"A044286";"2006JJ00";"";"";"";"";"";"";"";"";"";""
"600";"A018937";"A044286";"2007JJ00";"";"";"";"";"";"";"";"";"";""
"601";"A018937";"A044286";"2008JJ00";"";"";"";"";"";"";"";"";"";""
"602";"A018937";"A044286";"2009JJ00";"";"";"";"";"";"";"";"";"";""
"603";"A018937";"A044286";"2010JJ00";"";"";"";"";"";"";"";"";"";""
"604";"A018937";"A044286";"2011JJ00";"";"";"";"";"";"";"";"";"";""
"605";"A018937";"A044286";"2012JJ00";"";"";"";"";"";"";"";"";"";""
"606";"A018937";"A044286";"2013JJ00";"";"";"";"";"";"";"";"";"";""
"607";"A018937";"A044286";"2014JJ00";"";"";"";"";"";"";"";"";"";""
"608";"A018937";"A044286";"2015JJ00";"";"";"";"";"";"";"";"";"";""
"609";"A018937";"A044286";"2016JJ00";"";"";"";"";"";"";"";"";"";""
"610";"A018937";"A044286";"2017JJ00";"";"";"";"";"";"";"";"";"";""
"611";"A018937";"A044286";"2018JJ00";"   373.0";"   310.4";"    62.6";"   513.9";"   310.4";"   203.5";"   48531";"   29313";"   19218";"   10590"
"612";"A018936";"T001378";"2001JJ00";"  3176.3";"  3047.8";"   128.5";"  3905.4";"  3047.8";"   857.6";"   40948";"   31956";"    8992";"   95375"
"613";"A018936";"T001378";"2002JJ00";"  3028.3";"  2902.6";"   125.7";"  3733.8";"  2902.6";"   831.1";"   39766";"   30914";"    8852";"   93892"
"614";"A018936";"T001378";"2003JJ00";"  2914.0";"  2796.2";"   117.8";"  3602.6";"  2796.2";"   806.5";"   39711";"   30821";"    8890";"   90722"
"615";"A018936";"T001378";"2004JJ00";"  2859.6";"  2736.7";"   122.9";"  3525.9";"  2736.7";"   789.2";"   39753";"   30855";"    8898";"   88695"
"616";"A018936";"T001378";"2005JJ00";"  2807.2";"  2679.5";"   127.7";"  3453.7";"  2679.5";"   774.2";"   40152";"   31151";"    9001";"   86016"
"617";"A018936";"T001378";"2006JJ00";"  2758.6";"  2621.8";"   136.8";"  3377.1";"  2621.8";"   755.3";"   39392";"   30581";"    8811";"   85731"
"618";"A018936";"T001378";"2007JJ00";"  2767.9";"  2626.2";"   141.8";"  3357.7";"  2626.2";"   731.5";"   39450";"   30855";"    8595";"   85113"
"619";"A018936";"T001378";"2008JJ00";"  2735.6";"  2601.4";"   134.2";"  3272.1";"  2601.4";"   670.7";"   38348";"   30487";"    7860";"   85326"
"620";"A018936";"T001378";"2009JJ00";"  2669.8";"  2537.7";"   132.1";"  3175.2";"  2537.7";"   637.5";"   37527";"   29993";"    7534";"   84611"
"621";"A018936";"T001378";"2010JJ00";"  2564.2";"  2431.9";"   132.3";"  3050.7";"  2431.9";"   618.8";"   36941";"   29448";"    7492";"   82584"
"622";"A018936";"T001378";"2011JJ00";"  2489.8";"  2360.0";"   129.8";"  2999.6";"  2360.0";"   639.5";"   37356";"   29391";"    7964";"   80298"
"623";"A018936";"T001378";"2012JJ00";"  2397.1";"  2269.5";"   127.6";"  2867.0";"  2269.5";"   597.5";"   36907";"   29215";"    7692";"   77683"
"624";"A018936";"T001378";"2013JJ00";"  2208.6";"  2072.4";"   136.3";"  2733.3";"  2072.4";"   660.9";"   36360";"   27568";"    8792";"   75173"
"625";"A018936";"T001378";"2014JJ00";"  2142.6";"  2002.7";"   139.9";"  2649.4";"  2002.7";"   646.7";"   36532";"   27615";"    8917";"   72522"
"626";"A018936";"T001378";"2015JJ00";"  2175.6";"  2037.0";"   138.6";"  2595.0";"  2037.0";"   558.0";"   36541";"   28684";"    7857";"   71016"
"627";"A018936";"T001378";"2016JJ00";"  2224.1";"  2075.3";"   148.9";"  2587.7";"  2075.3";"   512.4";"   36506";"   29276";"    7229";"   70885"
"628";"A018936";"T001378";"2017JJ00";"  2252.7";"  2114.5";"   138.2";"  2563.3";"  2114.5";"   448.8";"   36057";"   29744";"    6313";"   71090"
"629";"A018936";"T001378";"2018JJ00";"  2176.1";"  2028.0";"   148.1";"  2509.6";"  2028.0";"   481.6";"   34990";"   28276";"    6714";"   71722"
"630";"A018936";"A048264";"2001JJ00";"  2588.2";"  2492.8";"    95.4";"  3129.6";"  2492.8";"   636.7";"   38383";"   30574";"    7809";"   81535"
"631";"A018936";"A048264";"2002JJ00";"  2100.7";"  2026.0";"    74.7";"  2519.9";"  2026.0";"   493.8";"   33962";"   27306";"    6655";"   74197"
"632";"A018936";"A048264";"2003JJ00";"  1734.1";"  1677.3";"    56.8";"  2066.3";"  1677.3";"   389.0";"   31246";"   25364";"    5882";"   66130"
"633";"A018936";"A048264";"2004JJ00";"  1455.0";"  1407.2";"    47.8";"  1714.2";"  1407.2";"   306.9";"   28745";"   23598";"    5147";"   59633"
"634";"A018936";"A048264";"2005JJ00";"  1210.1";"  1170.9";"    39.2";"  1408.5";"  1170.9";"   237.6";"   26837";"   22311";"    4526";"   52482"
